id,word,translation,gender
1348,procedure,процедура,feminine
1349,monitor,монитор,masculine
1350,spin,вращение,neuter
1351,clown,клоун,masculine
1352,necklace,ожерелье,neuter
1353,mud,грязь,feminine
1354,profile,профиль,masculine
1355,angle,угол,masculine
1356,furniture,мебель,feminine
1357,engagement,помолвка,feminine
1358,moron,идиот,masculine
1359,shark,акула,feminine
1360,humanity,человечество,neuter
1361,chop,отбивная,feminine
1362,snap,щелчок,masculine
1363,sales,продажи,"plural, both genders"
1364,stable,конюшня,feminine
1365,granny,бабушка,feminine
1366,pole,шест,masculine
1367,dancer,танцор,masculine
1368,footage,кадры,"plural, both genders"
1369,increase,увеличение,neuter
1370,stretch,растяжка,feminine
1371,romance,роман,masculine
1372,helicopter,вертолёт,masculine
1373,pitch,подача,feminine
1374,instance,пример,masculine
1375,lemon,лимон,masculine
1376,headache,головная боль,feminine
1377,rubbish,мусор,masculine
1378,session,сессия,feminine
1379,pin,булавка,feminine
1380,chamber,камера,feminine
1381,commercial,реклама,feminine
1382,liver,печень,feminine
1383,penis,пенис,masculine
1384,engineer,инженер,masculine
1385,supper,ужин,masculine
1386,liquor,спиртное,neuter
1387,drill,дрель,feminine
1388,alley,аллея,feminine
1389,hop,прыжок,masculine
1390,destruction,разрушение,neuter
1391,junk,хлам,masculine
1392,rocket,ракета,feminine
1393,elder,старейшина,masculine
1394,opera,опера,feminine
1395,highway,шоссе,neuter
1396,fighter,боец,masculine
1397,shell,раковина,feminine
1398,alpha,альфа,feminine
1399,liberty,свобода,feminine
1400,surgeon,хирург,masculine
1401,bum,бездомный,masculine
1402,widow,вдова,feminine
1403,reverend,священник,masculine
1404,insult,оскорбление,neuter
1405,comment,комментарий,masculine
1406,soap,мыло,neuter
1407,prick,укол,masculine
1408,scale,весы,"plural, both genders"
1409,grief,печаль,feminine
1410,knee,колено,neuter
1411,slut,шлюха,feminine
1412,album,альбом,masculine
1413,defendant,обвиняемый,masculine
1414,goddess,богиня,feminine
1415,bend,изгиб,masculine
1416,makeup,макияж,masculine
1417,loyalty,верность,feminine
1418,powder,порошок,masculine
1419,gene,ген,masculine
1420,diet,диета,feminine
1421,parent,родитель,masculine
1422,jam,джем,masculine
1423,salary,зарплата,feminine
1424,latin,латынь,feminine
1425,population,население,neuter
1426,ambassador,посол,masculine
1427,locker,шкафчик,masculine
1428,praise,похвала,feminine
1429,trauma,травма,feminine
1430,shore,берег,masculine
1431,wealth,богатство,neuter
1432,honeymoon,медовый месяц,masculine
1433,blade,лезвие,neuter
1434,whiskey,виски,neuter
1435,core,ядро,neuter
1436,aid,помощь,feminine
1437,tent,палатка,feminine
1438,blonde,блондинка,feminine
1439,intention,намерение,neuter
1440,abuse,злоупотребление,neuter
1441,poetry,поэзия,feminine
1442,jet,реактивный самолет,masculine
1443,resistance,сопротивление,neuter
1444,beard,борода,feminine
1445,strategy,стратегия,feminine
1446,goat,козел,masculine
1447,award,награда,feminine
1448,corn,кукуруза,feminine
1449,pro,профессионал,masculine
1450,net,сеть,feminine
1451,tattoo,татуировка,feminine
1452,stroke,удар,masculine
1453,novel,роман,masculine
1454,chaos,хаос,masculine
1455,colleague,коллега,masculine
1456,scientist,ученый,masculine
1457,tale,сказка,feminine
1458,warehouse,склад,masculine
1459,elephant,слон,masculine
1460,hostage,заложник,masculine
1461,branch,ветвь,feminine
1462,objection,возражение,neuter
1463,lap,колени,"plural, both genders"
1464,possession,владение,neuter
1465,tap,кран,masculine
1466,superior,начальство,neuter
1467,chin,подбородок,masculine
1468,soda,газировка,feminine
1469,commission,комиссия,feminine
1470,cinema,кинотеатр,masculine
1471,muscle,мышца,feminine
1472,poem,стих,masculine
1473,appeal,апелляция,feminine
1474,steak,бифштекс,masculine
1475,survival,выживание,neuter
1476,profit,прибыль,feminine
1477,symbol,символ,masculine
1478,madness,безумие,neuter
1479,development,развитие,neuter
1480,sail,парус,masculine
1481,tooth,зуб,masculine
1482,review,обзор,masculine
1483,basketball,баскетбол,masculine
1484,management,управление,neuter
1485,tube,трубка,feminine
1486,rifle,винтовка,feminine
1487,log,бревно,neuter
1488,bee,пчела,feminine
1489,squeeze,сжатие,neuter
1490,manner,манера,feminine
1491,entry,вход,masculine
1492,cable,кабель,masculine
1493,pan,сковорода,feminine
1494,native,коренной житель,masculine
1495,waiter,официант,masculine
1496,brick,кирпич,masculine
1497,pork,свинина,feminine
1498,pile,куча,feminine
1499,expression,выражение,neuter
1500,clan,клан,masculine
1501,facility,учреждение,neuter
1502,reception,прием,masculine
1503,statue,статуя,feminine
1504,satellite,спутник,masculine
1505,polish,полировка,feminine
1506,pound,фунт,masculine
1507,communication,связь,feminine
1508,fridge,холодильник,masculine
1509,foundation,фундамент,masculine
1510,appearance,внешность,feminine
1511,proposal,предложение,neuter
1512,combat,бой,masculine
1513,slide,горка,feminine
1514,delay,задержка,feminine
1515,labor,труд,masculine
1516,burden,бремя,neuter
1517,payment,платёж,masculine
1518,mall,торговый центр,masculine
1519,paperwork,документооборот,masculine
1520,lamb,ягнёнок,masculine
1521,item,предмет,masculine
1522,testimony,показания,"plural, neuter"
1523,hip,бедро,neuter
1524,prom,выпускной вечер,masculine
1525,patch,заплатка,feminine
1526,assignment,задание,neuter
1527,motel,мотель,masculine
1528,fraud,мошенничество,neuter
1529,dessert,десерт,masculine
1530,injury,травма,feminine
1531,bout,поединок,masculine
1532,sack,мешок,masculine
1533,soil,почва,feminine
1534,badge,значок,masculine
1535,motor,мотор,masculine
1536,description,описание,neuter
1537,battery,батарея,feminine
1538,complaint,жалоба,feminine
1539,cowboy,ковбой,masculine
1540,privacy,конфиденциальность,feminine
1541,wisdom,мудрость,feminine
1542,contrary,противоположность,feminine
1543,crane,кран,masculine
1544,leak,утечка,feminine
1545,pill,таблетка,feminine
1546,suitcase,чемодан,masculine
1547,vodka,водка,feminine
1548,chemical,химикат,masculine
1549,catholic,католик,masculine
1550,soccer,футбол,masculine
1551,brush,щётка,feminine
1552,illness,болезнь,feminine
1553,flip,кувырок,masculine
1554,twist,поворот,masculine
1555,chapter,глава,feminine
1556,measure,мера,feminine
1557,radar,радар,masculine
1558,editor,редактор,masculine
1559,structure,структура,feminine
1560,marshal,маршал,masculine
1561,bid,предложение,neuter
1562,palm,ладонь,feminine
1563,pub,паб,masculine
1564,analysis,анализ,masculine
1565,throne,трон,masculine
1566,barn,амбар,masculine
1567,rage,ярость,feminine
1568,fleet,флот,masculine
1569,budget,бюджет,masculine
1570,humor,юмор,masculine
1571,employee,сотрудник,masculine
1572,medication,лекарство,neuter
1573,booze,спиртное,neuter
1574,sis,сестрёнка,feminine
1575,turtle,черепаха,feminine
1576,nut,орех,masculine
1577,coin,монета,feminine
1578,basis,основание,neuter
1579,discussion,дискуссия,feminine
1580,temper,характер,masculine
1581,plot,заговор,masculine
1582,casino,казино,neuter
1583,poker,покер,masculine
1584,farmer,фермер,masculine
1585,counter,прилавок,masculine
1586,fucker,ублюдок,masculine
1587,repair,ремонт,masculine
1588,cookie,печенье,neuter
1589,baker,пекарь,masculine
1590,massage,массаж,masculine
1591,entertainment,развлечение,neuter
1592,bucket,ведро,neuter
1593,whip,кнут,masculine
1594,forgiveness,прощение,neuter
1595,spider,паук,masculine
1596,phase,фаза,feminine
1597,diary,дневник,masculine
1598,blanket,одеяло,neuter
1599,comedy,комедия,feminine
1600,height,высота,feminine
1601,dive,погружение,neuter
1602,tennis,теннис,masculine
1603,sunshine,солнечный свет,masculine
1604,dope,дурь,feminine
1605,permit,разрешение,neuter
1606,jazz,джаз,masculine
1607,swallow,ласточка,feminine
1608,towel,полотенце,neuter
1609,function,функция,feminine
1610,bunny,кролик,masculine
1611,niece,племянница,feminine
1612,prosecutor,прокурор,masculine
1613,fund,фонд,masculine
1614,pump,насос,masculine
1615,region,регион,masculine
1616,weakness,слабость,feminine
1617,discovery,открытие,neuter
1618,needle,игла,feminine
1619,executive,руководитель,masculine
1620,halt,остановка,feminine
1621,nest,гнездо,neuter
1622,gravity,гравитация,feminine
1623,wagon,повозка,feminine
1624,con,обман,masculine
1625,burst,взрыв,masculine
1626,weed,сорняк,masculine
1627,concept,понятие,neuter
1628,vessel,сосуд,masculine
1629,zoo,зоопарк,masculine
1630,stink,зловоние,neuter
1631,leather,кожа,feminine
1632,mexican,мексиканец,masculine
1633,sheet,простыня,feminine
1634,boot,ботинок,masculine
1635,reverse,реверс,masculine
1636,grandson,внук,masculine
1637,shield,щит,masculine
1638,conduct,поведение,neuter
1639,luggage,багаж,masculine
1640,promotion,продвижение,neuter
1641,menu,меню,neuter
1642,bacon,бекон,masculine
1643,method,метод,masculine
1644,parade,парад,masculine
1645,potato,картофель,masculine
1646,tag,ярлык,masculine
1647,radiation,радиация,feminine
1648,technique,техника,feminine
1649,jewelry,украшение,neuter
1650,nanny,няня,feminine
1651,cart,телега,feminine
1652,tissue,салфетка,feminine
1653,shooter,стрелок,masculine
1654,arrival,прибытие,neuter
1655,root,корень,masculine
1656,galaxy,галактика,feminine
1657,gossip,сплетня,feminine
1658,skill,умение,neuter
1659,conspiracy,заговор,masculine
1660,groom,жених,masculine
1661,cherry,вишня,feminine
1662,hunger,голод,masculine
1663,ideal,идеал,masculine
1664,dough,тесто,neuter
1665,terror,террор,masculine
1666,ham,ветчина,feminine
1667,priority,приоритет,masculine
1668,mankind,человечество,neuter
1669,click,клик,masculine
1670,european,европеец,masculine
1671,pillow,подушка,feminine
1672,scan,сканирование,neuter
1673,rehearsal,репетиция,feminine
1674,poet,поэт,masculine
1675,celebration,празднование,neuter
1676,cattle,скот,masculine
1677,drawer,выдвижной ящик,masculine
1678,lighter,зажигалка,feminine
1679,register,регистр,masculine
1680,comic,комикс,masculine
1681,lamp,лампа,feminine
1682,stab,удар,masculine
1683,dignity,достоинство,neuter
1684,wreck,крушение,neuter
1685,relative,родственник,masculine
1686,coma,кома,feminine
1687,corporal,капрал,masculine
1688,basket,корзина,feminine
1689,horror,ужас,masculine
1690,oath,клятва,feminine
1691,steam,пар,masculine
1692,solo,сольное выступление,neuter
1693,cemetery,кладбище,neuter
1694,bump,ушиб,masculine
1695,personnel,персонал,masculine
1696,scum,отброс,masculine
1697,mob,толпа,feminine
1698,combination,комбинация,feminine
1699,beam,луч,masculine
1700,alliance,союз,masculine
1701,counselor,советник,masculine
1702,nap,вздремнуть,neuter
1703,conflict,конфликт,masculine
1704,assistance,помощь,feminine
1705,retreat,отступление,neuter
1706,candidate,кандидат,masculine
1707,rubber,резина,feminine
1708,bingo,бинго,neuter
1709,autopsy,вскрытие,neuter
1710,carpet,ковёр,masculine
1711,puppy,щенок,masculine
1712,gut,кишка,feminine
1713,coffin,гроб,masculine
1714,instant,мгновение,neuter
1715,ash,пепел,masculine
1716,scandal,скандал,masculine
1717,ally,союзник,masculine
1718,arrow,стрела,feminine
1719,misery,страдание,neuter
1720,cotton,хлопок,masculine
1721,suite,люкс,masculine
1722,lecture,лекция,feminine
1723,economy,экономика,feminine
1724,stare,пристальный взгляд,masculine
1725,guardian,опекун,masculine
1726,gig,выступление,neuter
1727,investment,инвестиция,feminine
1728,heroin,героин,masculine
1729,deposit,депозит,masculine
1730,medal,медаль,feminine
1731,gum,жвачка,feminine
1732,swell,опухоль,feminine
1733,commitment,обязательство,neuter
1734,hut,избушка,feminine
1735,rear,задняя часть,feminine
1736,photographer,фотограф,masculine
1737,excitement,волнение,neuter
1738,ranch,ранчо,neuter
1739,fee,плата,feminine
1740,tool,инструмент,masculine
1741,profession,профессия,feminine
1742,document,документ,masculine
1743,journalist,журналист,masculine
1744,bait,приманка,feminine
1745,breast,грудь,feminine
1746,sorrow,печаль,feminine
1747,roommate,сожитель,masculine
1748,counsel,совет,masculine
1749,cannon,пушка,feminine
1750,penalty,штраф,masculine
1751,announcement,объявление,neuter
1752,cocaine,кокаин,masculine
1753,embrace,объятие,neuter
1754,spike,шип,masculine
1755,silk,шёлк,masculine
1756,theft,кража,feminine
1757,visitor,посетитель,masculine
1758,acid,кислота,feminine
1759,fuss,суета,feminine
1760,bargain,сделка,feminine
1761,feast,пир,masculine
1762,collar,воротник,masculine
1763,envy,зависть,feminine
1764,flame,пламя,neuter
1765,fame,слава,feminine
1766,perfume,духи,"plural, neuter"
1767,protest,протест,masculine
1768,psycho,психопат,masculine
1769,emotion,эмоция,feminine
1770,display,витрина,feminine
1771,content,содержание,neuter
1772,pepper,перец,masculine
1773,skirt,юбка,feminine
1774,cruise,круиз,masculine
1775,embassy,посольство,neuter
1776,scar,шрам,masculine
1777,rhythm,ритм,masculine
1778,myth,миф,masculine
1779,shove,толчок,masculine
1780,certificate,сертификат,masculine
1781,drum,барабан,masculine
1782,infection,инфекция,feminine
1783,scotch,виски,neuter
1784,frog,лягушка,feminine
1785,chess,шахматы,"plural, masculine"
1786,belief,вера,feminine
1787,cabinet,шкаф,masculine
1788,rumor,слух,masculine
1789,lung,лёгкое,neuter
1790,rap,рэп,masculine
1791,error,ошибка,feminine
1792,debate,дебаты,"plural, masculine"
1793,sum,сумма,feminine
1794,sweep,подметание,neuter
1795,era,эпоха,feminine
1796,vault,сейф,masculine
1797,liquid,жидкость,feminine
1798,aircraft,самолёт,masculine
1799,gunfire,огнестрельный залп,masculine
1800,chap,парень,masculine
1801,fry,жарка,feminine
1802,cargo,груз,masculine
1803,fist,кулак,masculine
1804,sucker,придурок,masculine
1805,oven,духовка,feminine
1806,hatred,ненависть,feminine
1807,bench,скамейка,feminine
1808,envelope,конверт,masculine
1809,kindness,доброта,feminine
1810,helmet,шлем,masculine
1811,twin,близнец,"masculine, близнеца"
1812,sailor,матрос,masculine
1813,ladder,лестница,feminine
1814,barrel,бочка,feminine
1815,folk,народ,masculine
1816,banana,банан,masculine
1817,alternative,альтернатива,feminine
1818,designer,дизайнер,"masculine, дизайнера"
1819,dial,циферблат,masculine
1820,tension,напряжение,neuter
1821,raid,рейд,masculine
1822,scout,разведчик,"masculine, разведчица"
1823,deer,олень,masculine
1824,grip,захват,masculine
1825,tin,олово,neuter
1826,warden,управляющий,"masculine, управляющая"
1827,quote,цитата,feminine
1828,subway,метро,neuter
1829,storage,хранение,neuter
1830,trailer,прицеп,masculine
1831,operator,оператор,"masculine, операторша"
1832,enterprise,предприятие,neuter
1833,cycle,цикл,masculine
1834,importance,важность,feminine
1835,goose,гусь,"masculine, гусыня"
1836,bass,бас,masculine
1837,volunteer,волонтер,"masculine, волонтерка"
1838,residence,резиденция,feminine
1839,lip,губа,feminine
1840,gallery,галерея,feminine
1841,motorcycle,мотоцикл,masculine
1842,worship,поклонение,neuter
1843,graduate,выпускник,"masculine, выпускница"
1844,congress,конгресс,masculine
1845,execution,казнь,feminine
1846,ritual,ритуал,masculine
1847,whale,кит,masculine
1848,application,заявление,neuter
1850,tub,ванна,feminine
1851,pistol,пистолет,masculine
1852,democracy,демократия,feminine
1853,campus,кампус,masculine
1854,conclusion,заключение,neuter
1855,rascal,негодяй,masculine
1856,candle,свеча,feminine
1857,principle,принцип,masculine
1858,butcher,мясник,masculine
1859,sweater,свитер,masculine
1860,rank,ранг,masculine
1861,picnic,пикник,masculine
1862,recovery,восстановление,neuter
1863,crawl,ползанье,neuter
1864,villa,вилла,feminine
1865,brandy,бренди,neuter
1866,appetite,аппетит,masculine
1867,lesbian,лесбиянка,feminine
1868,shepherd,пастух,masculine
1869,perspective,перспектива,feminine
1870,hockey,хоккей,masculine
1871,creep,ползун,masculine
1872,discipline,дисциплина,feminine
1873,lick,лизание,neuter
1874,coal,уголь,masculine
1875,tomb,гробница,feminine
1876,hush,тишина,feminine
1877,dummy,манекен,masculine
1878,suggestion,предложение,neuter
1879,addition,добавление,neuter
1880,therapist,терапевт,masculine
1881,parole,условно-досрочное освобождение,neuter
1882,cafe,кафе,neuter
1883,wizard,волшебник,"masculine, волшебница"
1884,consciousness,сознание,neuter
1885,sector,сектор,masculine
1886,sunset,закат,masculine
1887,creation,творение,neuter
1888,passage,переход,masculine
1889,compliment,комплимент,masculine
1890,broadcast,вещание,neuter
1891,prey,жертва,feminine
1892,puzzle,головоломка,feminine
1893,arrangement,расположение,neuter
1894,invasion,вторжение,neuter
1895,eternity,вечность,feminine
1896,plague,чума,feminine
1897,philosophy,философия,feminine
1898,prostitute,проститутка,feminine
1899,instinct,инстинкт,masculine
1900,affection,привязанность,feminine
1901,nazi,нацист,masculine
1902,ministry,министерство,neuter
1903,luxury,роскошь,feminine
1904,breeze,бриз,masculine
1905,sausage,колбаса,feminine
1906,physics,физика,feminine
1907,pirate,пират,masculine
1908,slice,ломтик,masculine
1909,rod,удочка,feminine
1910,kidney,почка,feminine
1911,inspiration,вдохновение,neuter
1912,ginger,имбирь,masculine
1913,destination,пункт назначения,masculine
1914,concrete,бетон,masculine
1915,stream,поток,masculine
1916,dentist,стоматолог,"masculine, стоматологиня"
1917,drain,сток,masculine
1918,spray,спрей,masculine
1919,organ,орган,masculine
1920,thumb,большой палец,masculine
1921,donkey,осел,masculine
1922,formula,формула,feminine
1923,hooker,проститутка,feminine
1924,bra,бюстгальтер,masculine
1925,bachelor,холостяк,masculine
1926,airplane,самолет,masculine
1927,absence,отсутствие,neuter
1928,daylight,дневной свет,masculine
1929,wrist,запястье,neuter
1930,clerk,клерк,masculine
1931,deed,акт,masculine
1932,pace,темп,masculine
1933,plug,штепсель,masculine
1934,privilege,привилегия,feminine
1935,bonus,бонус,masculine
1936,honesty,честность,feminine
1937,cellar,подвал,masculine
1938,carriage,карета,feminine
1939,lobby,вестибюль,masculine
1940,scent,запах,masculine
1941,burger,бургер,masculine
1942,protocol,протокол,masculine
1943,author,автор,"masculine, авторша"
1944,mole,крот,masculine
1945,disgrace,позор,masculine
1946,illusion,иллюзия,feminine
1947,verdict,приговор,masculine
1948,income,доход,masculine
1949,civilization,цивилизация,feminine
1950,bully,задира,masculine
1951,element,элемент,masculine
1952,passenger,пассажир,"masculine, пассажирка"
1953,balloon,шарик,masculine
1954,toe,палец ноги,masculine
1955,mortal,смертный,masculine
1956,lottery,лотерея,feminine
1957,mansion,особняк,masculine
1958,curtain,занавеска,feminine
1959,cheek,щека,feminine
1960,harbor,гавань,feminine
1961,flood,наводнение,neuter
1962,cocktail,коктейль,masculine
1963,reply,ответ,masculine
1964,zombie,зомби,masculine
1965,associate,ассоциат,masculine
1966,bubble,пузырь,masculine
1967,seed,семя,neuter
1968,celebrity,знаменитость,feminine
1969,missile,ракета,feminine
1970,rot,гниль,feminine
1971,laser,лазер,masculine
1972,spite,злоба,feminine
1973,mill,мельница,feminine
1974,waitress,официантка,feminine
1975,retirement,пенсия,feminine
1976,consent,согласие,neuter
1977,shrink,психотерапевт,masculine
1978,copper,медь,feminine
1979,auction,аукцион,masculine
1980,confusion,путаница,feminine
1981,column,колонна,feminine
1982,sympathy,симпатия,feminine
1983,speaker,докладчик,"masculine, докладчица"
1984,brass,латунь,feminine
1985,constable,констебль,masculine
1986,brat,отрок,masculine
1987,scheme,схема,feminine
1988,heir,наследник,"masculine, наследница"
1989,ditch,канава,feminine
1990,suspicion,подозрение,neuter
1991,tide,прилив,masculine
1992,tournament,турнир,masculine
1993,rainbow,радуга,feminine
1994,orbit,орбита,feminine
1995,corps,корпус,masculine
1996,platform,платформа,feminine
1997,cloth,ткань,feminine
1998,shotgun,дробовик,masculine
1999,fur,мех,masculine
2000,gin,джин,masculine